resource_id,resource_volume,topic_name,topic_type,topic_volume,document_mapped_probability
Course1_W1-S1-L1_Introduction_Part_1_11-17.txt,254.7734375,document,Relevant,458.9063705321111,0.010751289573787485
Course1_W1-S1-L1_Introduction_Part_1_11-17.txt,254.7734375,probability,Relevant,409.92209781228746,0.009991410990079401
Course1_W1-S1-L1_Introduction_Part_1_11-17.txt,254.7734375,tag,Relevant,425.765340045338,0.009202965532293769
Course1_W1-S1-L1_Introduction_Part_1_11-17.txt,254.7734375,feature,Marker,414.9273613055481,0.009130546354973354
Course1_W1-S1-L1_Introduction_Part_1_11-17.txt,254.7734375,translation,Marker,464.44764787673114,0.0063067825466098
Course1_W1-S1-L1_Introduction_Part_1_11-17.txt,254.7734375,parameter,Marker,475.29819659111456,0.006204195697649043
Course1_W1-S1-L1_Introduction_Part_1_11-17.txt,254.7734375,english,Generic,414.7624644952364,0.0055529308162231734
Course1_W1-S1-L1_Introduction_Part_1_11-17.txt,254.7734375,position,Generic,320.3789467086227,0.005537404424719707
Course1_W1-S1-L1_Introduction_Part_1_11-17.txt,254.7734375,sequence,Generic,418.6838951825948,0.0053796629800257085
Course1_W1-S1-L2_Introduction_Part_2_10-28.txt,290.85394287109375,document,Relevant,458.9063705321111,0.010582846945659774
Course1_W1-S1-L2_Introduction_Part_2_10-28.txt,290.85394287109375,probability,Relevant,409.92209781228746,0.009834873533402922
Course1_W1-S1-L2_Introduction_Part_2_10-28.txt,290.85394287109375,tag,Relevant,425.765340045338,0.009058780810062146
Course1_W1-S1-L2_Introduction_Part_2_10-28.txt,290.85394287109375,feature,Marker,414.9273613055481,0.008987496238639096
Course1_W1-S1-L2_Introduction_Part_2_10-28.txt,290.85394287109375,translation,Marker,464.44764787673114,0.006207972908948196
Course1_W1-S1-L2_Introduction_Part_2_10-28.txt,290.85394287109375,parameter,Marker,475.29819659111456,0.006106993308897599
Course1_W1-S1-L2_Introduction_Part_2_10-28.txt,290.85394287109375,english,Generic,414.7624644952364,0.005465931926082921
Course1_W1-S1-L2_Introduction_Part_2_10-28.txt,290.85394287109375,position,Generic,320.3789467086227,0.0054506487896952465
Course1_W1-S1-L2_Introduction_Part_2_10-28.txt,290.85394287109375,sequence,Generic,418.6838951825948,0.005295378712117403
Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17.txt,355.06915283203125,document,Relevant,458.9063705321111,0.010510764209901949
Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17.txt,355.06915283203125,probability,Relevant,409.92209781228746,0.009767885454130864
Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17.txt,355.06915283203125,tag,Relevant,425.765340045338,0.008997078915782405
